ticker,sector
PSDN,"Consumer Non-Cyclicals"
PSGO,"Consumer Non-Cyclicals"
PTPS,"Consumer Non-Cyclicals"
RANC,"Consumer Non-Cyclicals"
ROTI,"Consumer Non-Cyclicals"
SDPC,"Consumer Non-Cyclicals"
SGRO,"Consumer Non-Cyclicals"
SIMP,"Consumer Non-Cyclicals"
SIPD,"Consumer Non-Cyclicals"
SKBM,"Consumer Non-Cyclicals"
SKLT,"Consumer Non-Cyclicals"
STAA,"Consumer Non-Cyclicals"
STTP,"Consumer Non-Cyclicals"
TCID,"Consumer Non-Cyclicals"
TGKA,"Consumer Non-Cyclicals"
TGUK,"Consumer Non-Cyclicals"
TLDN,"Consumer Non-Cyclicals"
UCID,"Consumer Non-Cyclicals"
UDNG,"Consumer Non-Cyclicals"
VICI,"Consumer Non-Cyclicals"
WAPO,"Consumer Non-Cyclicals"
YUPI,"Consumer Non-Cyclicals"
BMHS,"Healthcare"
CARE,"Healthcare"
CHEK,"Healthcare"
DGNS,"Healthcare"
DVLA,"Healthcare"
HALO,"Healthcare"
IKPM,"Healthcare"
IRRA,"Healthcare"
LABS,"Healthcare"
MDLA,"Healthcare"
MEDS,"Healthcare"
MERK,"Healthcare"
MMIX,"Healthcare"
MTMH,"Healthcare"
OBAT,"Healthcare"
OMED,"Healthcare"
PEHA,"Healthcare"
PEVE,"Healthcare"
PRAY,"Healthcare"
PRDA,"Healthcare"
PRIM,"Healthcare"
RSCH,"Healthcare"
RSGK,"Healthcare"
SAME,"Healthcare"
SCPI,"Healthcare"
SOHO,"Healthcare"
SURI,"Healthcare"
TSPC,"Healthcare"
ADCP,"Properties & Real Estate"
AMAN,"Properties & Real Estate"
APLN,"Properties & Real Estate"
ASPI,"Properties & Real Estate"
ASRI,"Properties & Real Estate"
ATAP,"Properties & Real Estate"
BAPI,"Properties & Real Estate"
BBSS,"Properties & Real Estate"
BCIP,"Properties & Real Estate"
BEST,"Properties & Real Estate"
BIPP,"Properties & Real Estate"
BKDP,"Properties & Real Estate"
BKSL,"Properties & Real Estate"
BSBK,"Properties & Real Estate"
CITY,"Properties & Real Estate"
CSIS,"Properties & Real Estate"
DADA,"Properties & Real Estate"
DILD,"Properties & Real Estate"
DMAS,"Properties & Real Estate"
DUTI,"Properties & Real Estate"
ELTY,"Properties & Real Estate"
EMDE,"Properties & Real Estate"
FMII,"Properties & Real Estate"
GMTD,"Properties & Real Estate"
GPRA,"Properties & Real Estate"
GRIA,"Properties & Real Estate"
HBAT,"Properties & Real Estate"
HOMI,"Properties & Real Estate"
INPP,"Properties & Real Estate"
IPAC,"Properties & Real Estate"
JRPT,"Properties & Real Estate"
KBAG,"Properties & Real Estate"
KIJA,"Properties & Real Estate"
KOCI,"Properties & Real Estate"
LAND,"Properties & Real Estate"
LPCK,"Properties & Real Estate"
LPLI,"Properties & Real Estate"
MMLP,"Properties & Real Estate"
MSIE,"Properties & Real Estate"
MTLA,"Properties & Real Estate"
MTSM,"Properties & Real Estate"
NZIA,"Properties & Real Estate"
PAMG,"Properties & Real Estate"
PLIN,"Properties & Real Estate"
POLI,"Properties & Real Estate"
PURI,"Properties & Real Estate"
RBMS,"Properties & Real Estate"
REAL,"Properties & Real Estate"
RELF,"Properties & Real Estate"
RISE,"Properties & Real Estate"
ROCK,"Properties & Real Estate"
RODA,"Properties & Real Estate"
SAGE,"Properties & Real Estate"
SATU,"Properties & Real Estate"
SMDM,"Properties & Real Estate"
SMRA,"Properties & Real Estate"
UANG,"Properties & Real Estate"
URBN,"Properties & Real Estate"
VAST,"Properties & Real Estate"
WINR,"Properties & Real Estate"
AREA,"Technology"
ATIC,"Technology"
AWAN,"Technology"
AXIO,"Technology"
CASH,"Technology"
CHIP,"Technology"
CYBR,"Technology"
DIVA,"Technology"
DMMX,"Technology"
ELIT,"Technology"
GLVA,"Technology"
HDIT,"Technology"
IOTF,"Technology"
IRSX,"Technology"
JATI,"Technology"
KIOS,"Technology"
KREN,"Technology"
LUCK,"Technology"
MCAS,"Technology"
MPIX,"Technology"
MSTI,"Technology"
MTDL,"Technology"
NFCX,"Technology"
PGJO,"Technology"
PTSN,"Technology"
RUNS,"Technology"
TFAS,"Technology"
TOSK,"Technology"
TRON,"Technology"
UVCR,"Technology"
WGSH,"Technology"
WIFI,"Technology"
WIRG,"Technology"
ZYRX,"Technology"
ASLI,"Infrastructures"
BALI,"Infrastructures"
BDKR,"Infrastructures"
CMNP,"Infrastructures"
DATA,"Infrastructures"
DGIK,"Infrastructures"
FIMP,"Infrastructures"
GHON,"Infrastructures"
GOLD,"Infrastructures"
HADE,"Infrastructures"
IBST,"Infrastructures"
IDPR,"Infrastructures"
INET,"Infrastructures"
IPCM,"Infrastructures"
JAST,"Infrastructures"
JKON,"Infrastructures"
KARW,"Infrastructures"
KEEN,"Infrastructures"
KETR,"Infrastructures"
KOKA,"Infrastructures"
MANG,"Infrastructures"
META,"Infrastructures"
MPOW,"Infrastructures"
MTPS,"Infrastructures"
NRCA,"Infrastructures"
PORT,"Infrastructures"
POWR,"Infrastructures"
PPRE,"Infrastructures"
PTPP,"Infrastructures"
PTPW,"Infrastructures"
SMKM,"Infrastructures"
SSIA,"Infrastructures"
TAMA,"Infrastructures"
TOTL,"Infrastructures"
WEGE,"Infrastructures"
