snapshot_date,ticker,issuer_name,sector,subsector,universe_rank,current_tradeable,production_actionable,data_quality_state,liquidity_state,selection_reason,membership_state,runtime_ranking_eligible
2026-09-09,GWSA,PT Greenwood Sejahtera Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,519,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SGRO,PT Prime Agri Resources Tbk,Barang Konsumen Primer,Makanan & Minuman,520,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MANG,PT Manggung Polahraya Tbk,Infrastruktur,Konstruksi Bangunan,521,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,UNIQ,PT Ulima Nitra Tbk,Energi,"Minyak, Gas & Batu Bara",522,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SKBM,Sekar Bumi Tbk,Barang Konsumen Primer,Makanan & Minuman,523,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,TIRA,Tira Austenite Tbk,Perindustrian,Jasa Perindustrian,524,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,YUPI,PT Yupi Indo Jelly Gum Tbk,Barang Konsumen Primer,Makanan & Minuman,525,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AGRS,PT Bank IBK Indonesia Tbk.,Keuangan,Bank,526,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SMKM,PT Sumber Mas Konstruksi Tbk,Infrastruktur,Konstruksi Bangunan,527,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,HGII,PT Hero Global Investment Tbk,Infrastruktur,Utilitas,528,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BVIC,Bank Victoria International Tbk,Keuangan,Bank,529,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,IPCM,PT Jasa Armada Indonesia Tbk.,Infrastruktur,Infrastruktur Transportasi,530,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BPTR,PT Batavia Prosperindo Trans Tbk.,Transportasi & Logistik,Transportasi,531,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ENAK,PT Champ Resto Indonesia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,532,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,IKBI,Sumi Indo Kabel Tbk,Perindustrian,Barang Perindustrian,533,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,CITA,Cita Mineral Investindo Tbk,Barang Baku,Barang Baku,534,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,CBUT,PT Citra Borneo Utama Tbk,Barang Konsumen Primer,Makanan & Minuman,535,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,SUNI,PT Sunindo Pratama Tbk,Energi,"Minyak, Gas & Batu Bara",536,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ADMG,Polychem Indonesia Tbk,Barang Baku,Barang Baku,537,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,WAPO,Wahana Pronatural Tbk,Barang Konsumen Primer,Makanan & Minuman,538,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
