ticker,sector,universe_source
BISI,Consumer Non-Cyclicals,LEGACY_400
BOBA,Consumer Non-Cyclicals,LEGACY_400
BRRC,Consumer Non-Cyclicals,LEGACY_400
BUAH,Consumer Non-Cyclicals,LEGACY_400
BUDI,Consumer Non-Cyclicals,LEGACY_400
BWPT,Consumer Non-Cyclicals,LEGACY_400
CAMP,Consumer Non-Cyclicals,LEGACY_400
CEKA,Consumer Non-Cyclicals,LEGACY_400
CLEO,Consumer Non-Cyclicals,LEGACY_400
CPRO,Consumer Non-Cyclicals,LEGACY_400
CSRA,Consumer Non-Cyclicals,LEGACY_400
DAYA,Consumer Non-Cyclicals,LEGACY_400
DEWI,Consumer Non-Cyclicals,LEGACY_400
DMND,Consumer Non-Cyclicals,LEGACY_400
DSFI,Consumer Non-Cyclicals,LEGACY_400
DSNG,Consumer Non-Cyclicals,LEGACY_400
EPMT,Consumer Non-Cyclicals,LEGACY_400
EURO,Consumer Non-Cyclicals,LEGACY_400
FISH,Consumer Non-Cyclicals,LEGACY_400
FLMC,Consumer Non-Cyclicals,LEGACY_400
FOOD,Consumer Non-Cyclicals,LEGACY_400
FORE,Consumer Non-Cyclicals,LEGACY_400
GOOD,Consumer Non-Cyclicals,LEGACY_400
GRPM,Consumer Non-Cyclicals,LEGACY_400
GULA,Consumer Non-Cyclicals,LEGACY_400
GUNA,Consumer Non-Cyclicals,LEGACY_400
GZCO,Consumer Non-Cyclicals,LEGACY_400
HERO,Consumer Non-Cyclicals,LEGACY_400
HOKI,Consumer Non-Cyclicals,LEGACY_400
IKAN,Consumer Non-Cyclicals,LEGACY_400
JARR,Consumer Non-Cyclicals,LEGACY_400
JAWA,Consumer Non-Cyclicals,LEGACY_400
KEJU,Consumer Non-Cyclicals,LEGACY_400
KINO,Consumer Non-Cyclicals,LEGACY_400
KMDS,Consumer Non-Cyclicals,LEGACY_400
LSIP,Consumer Non-Cyclicals,LEGACY_400
MAIN,Consumer Non-Cyclicals,LEGACY_400
MAXI,Consumer Non-Cyclicals,LEGACY_400
MBTO,Consumer Non-Cyclicals,LEGACY_400
MKTR,Consumer Non-Cyclicals,LEGACY_400
MLPL,Consumer Non-Cyclicals,LEGACY_400
MPPA,Consumer Non-Cyclicals,LEGACY_400
